date,env reset start date,get state calculated portfolio value,action,mvo calculated current portfolio value,calculated optimized weights,current composition,agent weights updated to,current sortino ratio,target sortino ratio,current weights,target weights,current cumulative return,Distance penalty,Scaled Sortino diff,Reward,Reward no scale,dai ceilings
2022-05-20,2022-05-20,,,,,,,,,,,,,,,,
2022-05-20,,9138785768.037464,,,,,,,,,,,,,,,
2022-05-20,2022-05-20,,,,,,,,,,,,,,,,
2022-05-20,,9138785768.037464,,,,,,,,,,,,,,,
2022-05-20,,,"{'stETH Vault_dai_ceiling': 0.08813080107727422, 'ETH Vault_dai_ceiling': 0.39771372790941795, 'BTC Vault_dai_ceiling': 0.391530729474708, 'Altcoin Vault_dai_ceiling': 0.15791873865384198, 'Stablecoin Vault_dai_ceiling': -0.23205520719157335, 'LP Vault_dai_ceiling': 0.0, 'RWA Vault_dai_ceiling': 0.0, 'PSM Vault_dai_ceiling': 0.01851094544808063}",,,,,,,,,,,,,,
2022-06-14,,9180057918.455873,,,,,,,,,,,,,,,
2022-06-14,,,,9230928327.455873,,,,,,,,,,,,,
2022-06-14,,,,,"[0.1        0.05       0.5        0.1        0.01       0.07539926
 0.02       0.14460074]",,,,,,,,,,,,
2022-06-14,,,,,,"BTC Vault_collateral_usd          0.15325
ETH Vault_collateral_usd          0.35607
stETH Vault_collateral_usd        0.06105
Stablecoin Vault_collateral_usd   0.05838
Altcoin Vault_collateral_usd      0.05345
LP Vault_collateral_usd           0.09670
RWA Vault_collateral_usd          0.00551
PSM Vault_collateral_usd          0.21561
Name: 2022-06-13 00:00:00, dtype: float64",,,,,,,,,,,
2022-06-14,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000043278, 'ETH Vault_collateral_usd': 0.05000000000069076, 'stETH Vault_collateral_usd': 0.49999999999926875, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.01, 'LP Vault_collateral_usd': 0.0753992644913433, 'RWA Vault_collateral_usd': 0.019999999999559533, 'PSM Vault_collateral_usd': 0.1446007355087186}",,,,,,,,,,
2022-06-14,,,,,,,,-1.2801787962256286,,,,,,,,,
2022-06-14,,,,,,,,,9.221791883081115,,,,,,,,
